City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
327,kananga,-5.8958,22.4178,22.26,28,6,1.61,CD,1690499771
328,kolpino,59.7507,30.5886,15.04,87,75,4.0,RU,1690499772
329,ciudad lazaro cardenas,17.9583,-102.2,31.62,60,98,4.92,MX,1690499772
330,arraial do cabo,-22.9661,-42.0278,21.95,85,3,9.8,BR,1690499772
331,mandan,46.8267,-100.8896,31.99,39,0,5.66,US,1690499690
332,barakani,-12.1356,44.4317,24.13,74,33,3.96,KM,1690499773
333,klaksvik,62.2266,-6.589,12.51,95,100,5.89,FO,1690499773
334,naze,28.3667,129.4833,28.51,84,84,6.54,JP,1690499774
335,khovd,48.0056,91.6419,21.19,29,12,2.98,MN,1690499774
336,karaton,-6.3424,106.1045,21.78,93,93,0.68,ID,1690499775
337,morehead city,34.7229,-76.726,31.01,79,0,6.69,US,1690499775
338,ad dilam,23.9915,47.1627,34.23,15,58,1.28,SA,1690499776
339,xilin hot,43.9667,116.0333,19.85,75,100,3.4,CN,1690499776
340,as-suwayda,32.709,36.5695,23.86,21,0,1.78,SY,1690499776
341,port macquarie,-31.4333,152.9167,16.61,54,2,2.18,AU,1690499651
342,rabaul,-4.1967,152.1721,27.9,72,99,3.59,PG,1690499778
343,shingu,33.7333,135.9833,28.31,75,33,1.52,JP,1690499780
344,weno,7.4515,151.8468,27.85,77,95,5.8,FM,1690499781
345,sandnessjoen,66.0217,12.6316,12.29,93,45,1.61,NO,1690499781
346,mukalla,14.5425,49.1242,28.11,80,43,2.59,YE,1690499782
347,minas de marcona,-15.2119,-75.1103,14.96,71,0,5.36,PE,1690499782
348,tashla,51.7716,52.7427,23.93,56,55,0.43,RU,1690499783
349,ouadda,8.0777,22.4007,20.31,97,70,0.98,CF,1690499783
350,mata-utu,-13.2816,-176.1745,27.32,74,99,5.83,WF,1690499783
351,quellon,-43.1167,-73.6167,10.14,93,100,3.6,CL,1690499704
352,hermanus,-34.4187,19.2345,7.67,77,0,1.4,ZA,1690499784
353,tubarjal,30.4999,38.216,31.03,17,0,6.23,SA,1690499785
354,punta cana,18.5818,-68.4043,28.87,74,40,2.06,DO,1690499785
355,moussoro,13.6408,16.4901,29.84,53,98,3.58,TD,1690499786
356,pariaman,-0.619,100.12,23.03,85,98,1.21,ID,1690499786
357,konarka,19.9,86.1167,27.22,86,54,7.1,IN,1690499786
358,hasaki,35.7333,140.8333,30.22,74,14,4.51,JP,1690499787
